episode,reward,robot_x,robot_y,target_x,target_y
432,16897.3844,-0.4527,-1.2701,1.475,2.525
433,21678.4427,-0.3825,-0.3198,1.475,2.525
434,33732.9483,1.0331,0.2463,1.475,2.525
435,33620.7581,1.0181,0.252,1.475,2.525
436,33123.9692,0.8606,0.3492,1.475,2.525
437,19004.7294,-0.509,-0.3311,1.475,2.525
438,16606.0562,-0.39,-0.9002,1.475,2.525
439,24245.7754,-0.1421,-0.1342,1.475,2.525
440,15529.1884,-0.3837,-0.9666,1.475,2.525
441,52107.6523,1.0899,2.4393,1.475,2.525
442,21991.8689,-0.2807,-0.2082,1.475,2.525
443,18792.7428,-0.8161,-0.2414,1.475,2.525
444,34863.7826,0.873,0.3281,1.475,2.525
445,10126.6616,-0.4702,-1.4351,1.475,2.525
446,17524.1021,-0.4788,-1.1071,1.475,2.525
447,17867.0778,-0.8827,-0.1808,1.475,2.525
448,16892.9715,-0.4602,-1.314,1.475,2.525
449,17765.0622,-0.8054,-0.2506,1.475,2.525
450,14043.229,-0.4655,-1.3343,1.475,2.525
451,34171.801,0.7474,0.7444,1.475,2.525
452,36514.7892,0.7093,0.6652,1.475,2.525
453,3405.1511,-2.0277,-1.5366,1.475,2.525
454,16393.3502,-0.4776,-1.079,1.475,2.525
455,34135.7179,1.0221,0.2492,1.475,2.525
456,30031.362,0.9357,-0.4989,1.475,2.525
457,34342.2333,0.9589,0.2781,1.475,2.525
458,32413.7932,0.7093,0.6419,1.475,2.525
459,17339.6083,-0.4125,-0.9261,1.475,2.525
460,32402.7736,0.7788,0.4148,1.475,2.525
461,1756.7063,-2.2769,-1.5219,1.475,2.525
462,2890.8929,-2.0927,-1.527,1.475,2.525
463,34236.2396,1.1748,0.1607,1.475,2.525
464,16640.204,-0.8578,-0.2128,1.475,2.525
465,17009.1182,-0.4618,-1.1942,1.475,2.525
466,20521.0056,-0.1284,-0.799,1.475,2.525
467,17677.0116,-0.8118,-0.2348,1.475,2.525
468,32295.7376,0.8398,0.3658,1.475,2.525
469,17558.4022,-0.8348,-0.2421,1.475,2.525
470,17533.0126,-0.4197,-0.9165,1.475,2.525
471,33316.0818,0.8542,0.3477,1.475,2.525
472,1550.5559,-2.2868,-1.53,1.475,2.525
473,33530.7243,0.986,0.2688,1.475,2.525
474,19518.8583,-0.9315,0.1304,1.475,2.525
475,24149.7588,-0.1873,-0.1482,1.475,2.525
476,16532.9474,-0.8529,-0.2277,1.475,2.525
477,16273.3224,-0.4612,-1.4021,1.475,2.525
478,21896.3349,-0.2536,-0.1814,1.475,2.525
479,11788.6785,-0.4713,-1.5988,1.475,2.525
480,10018.4026,-1.9498,-0.4251,1.475,2.525
481,17969.2768,-0.8683,-0.191,1.475,2.525
482,18150.6888,-0.3841,-0.9194,1.475,2.525
483,44367.2025,1.0563,1.3628,1.475,2.525
484,16903.1191,-0.4702,-1.1738,1.475,2.525
485,34366.3995,0.7617,0.7509,1.475,2.525
486,17868.4743,-0.6252,-0.3101,1.475,2.525
487,17212.9262,-0.4706,-1.1471,1.475,2.525
488,34728.8145,0.7762,0.443,1.475,2.525
489,3816.141,-2.0321,-1.5239,1.475,2.525
490,18174.0763,-0.8931,-0.1539,1.475,2.525
491,16507.3059,-0.4847,-1.0859,1.475,2.525
492,21688.5518,-0.9442,0.2316,1.475,2.525
493,35705.2984,0.7036,0.6719,1.475,2.525
494,41169.0901,1.0595,1.3265,1.475,2.525
495,25589.1071,-0.1444,0.0145,1.475,2.525
496,20750.9454,-0.3363,-0.2916,1.475,2.525
497,33713.0465,1.1159,0.2127,1.475,2.525
498,18681.7359,-0.7623,-0.2863,1.475,2.525
499,44206.9541,1.0392,1.6035,1.475,2.525
500,17742.4924,-0.386,-0.8868,1.475,2.525
501,30856.4204,-0.1022,0.4796,1.475,2.525
502,16804.0618,-0.4746,-1.1134,1.475,2.525
503,18049.9905,-0.4168,-0.9183,1.475,2.525
504,18668.0993,-0.3449,-0.8375,1.475,2.525
505,16931.683,-0.4687,-1.3819,1.475,2.525
506,47947.9224,0.6493,2.5967,1.475,2.525
507,32814.4858,0.8264,0.3873,1.475,2.525
508,15655.8568,-0.4823,-1.3595,1.475,2.525
